Key,Item,Description
chat_log_trade,False,log trade chat
house_15day_account,True,"if disabled, houses can be purchased with accounts created less than 15 days old"
allow_pkl_bump,True,"enables retail behavior where /pkl checks for entry collisions, bumping the player position over if standing on another PKLite. This effectively enables /pkl door skipping from retail"
fastbuff,True,"If TRUE, enables the fast buffing trick from retail."
container_opener_name,False,"If enabled, when a player tries to open a container that is already in use by someone else, replaces 'someone else' in the message with the actual name of the player"
assess_creature_mod,False,"(non-retail function) If enabled, re-enables former skill formula, when assess creature skill is not trained or spec'ed"
house_per_char,False,"if TRUE, allows 1 house per char instead of 1 house per account"
equipmentsetid_name_decoration,False,enable this to add the EquipmentSet name to loot armor name
player_config_command,False,"If enabled, players can use /config to change their settings via text commands"
craft_exact_msg,False,"If TRUE, and player has crafting chance of success dialog enabled, shows them an additional message in their chat window with exact %"
gateway_ties_summonable,True,"if disabled, players cannot summon ties from gateways. defaults to enabled, as in retail"
require_spell_comps,True,"if FALSE, spell components are no longer required to be in inventory to cast spells. defaults to enabled, as in retail"
taboo_table,True,"if enabled, taboo table restricts player names during character creation"
lifestone_broadcast_death,True,"if true, player deaths are additionally broadcast to other players standing near the destination lifestone"
chat_disable_lfg,False,disable lfg global chat channel
legacy_loot_system,False,use the previous iteration of the ace lootgen system
chat_log_fellow,False,log fellow chat
corpse_decay_tick_logging,False,If ENABLED then player corpse ticks will be logged
spell_projectile_ethereal,False,"broadcasts all spell projectiles as ethereal to clients only, and manually send stop velocity on collision. can fix various issues with client missing target id."
safe_spell_comps,False,"if TRUE, disables spell component burning for everyone"
item_dispel,False,"if enabled, allows players to dispel items. defaults to end of retail, where item dispels could only target creatures"
chat_echo_only,False,global chat returns to sender only
loot_quality_mod,True,if FALSE then the loot quality modifier of a Death Treasure profile does not affect loot generation
chat_log_audit,True,log audit chat
fellow_kt_killer,True,"if FALSE, fellowship kill tasks will share with the fellowship, even if the killer doesn't have the quest"
use_wield_requirements,True,disable this to bypass wield requirements. mostly for dev debugging
runrate_add_hooks,False,"if TRUE, adds some runrate hooks that were missing from retail (exhaustion done, raise skill/attribute"
house_purchase_requirements,True,"if disabled, requirements to purchase/rent house are not checked"
