Key,Item,Description
imbue_crippling_blow_melee_scalar,6,Scales the effectiveness of Crippling Blow for melee attacks at roughly max base skill. 1.0 = no effect. 2.0 = double damage on crit at max base skill. 4.0 = 4x damage etc. ACE DEFAULT IS 6.0
pvp_ar_melee_cap,0.3,The cap on what proportion of armor can be reduced on melee AR. Should be between 0 and 1. Default is 0.6 for a 60% reduction in armor.
imbue_crippling_blow_magic_scalar,6,Scales the effectiveness of Crippling Blow for magic attacks at roughly max base skill. 1.0 = no effect. 2.0 = double damage on crit at max base skill. 4.0 = 4x damage etc.  ACE DEFAULT IS 6.0
light_cb_damage,0,"The extra crit rating Light Weapons will get when imbued with CB. For every 1.0 added to this number, this equals 100 crit rating."
twohanded_cs_damage,0,"The extra crit rating Two-Handed Weapons will get when imbued with CS. For every 1.0 added to this number, this equals 100 crit rating."
void_projectile_modifier,1,scales void projectile dmg
light_cb_crit_rate,0.05,The amount that a light weapon with Crippling Blow will land a critical strike. Default is 0.05(5%). A value of 1.00 would be 100% crit strike chance. be CAREFUL
heavy_weapons_damage,14,The amount of flat damage added to heavy weapons per tink. Note for each damage event the added damage will be randomized between 1 and this value. Default is 0.
twohanded_cb_crit_rate,0.05,The amount that a twohanded weapon with Crippling Blow will land a critical strike. Default is 0.05(5%). A value of 1.00 would be 100% crit strike chance. be CAREFUL
xp_modifier,1,scales the amount of xp received by players
phantom_shield_damage_multi,1,The damage multiplier done by phantom weapons vs shields. Default is 1.0x
pvp_missile_weapon_damage_modifier,1,Scales missile weapon damage for PvP
pvp_melee_weapon_damage_modifier,1,Scales melee weapon damage for PvP
xbow_cs_damage,1,"The extra crit rating Crossbow will get when imbued with CS. For every 1.0 added to this number, this equals 100 crit rating."
rare_drop_rate_percent,0.04,"Adjust the chance of a rare to spawn as a percentage. Default is 0.04, or 1 in 2,500. Max is 100, or every eligible drop."
phantom_damage_multi,1,The damage multiplier done by phantom weapons vs armor. Default is 1.0x
encounter_regen_interval,600,the number of seconds a generator for regions at which spawns its next set of objects
twohanded_cb_damage,0,"The extra crit rating Two-Handed Weapons will get when imbued with CB. For every 1.0 added to this number, this equals 100 crit rating."
epic_cantrip_drop_rate,1,"Scales the chance for epic cantrips to drop, relative to other cantrip levels in the tier. Defaults to 1.0, as per end of retail"
legendary_cantrip_drop_rate,1,
xbow_cb_damage,0,"The extra crit rating Crossbow will get when imbued with CB. For every 1.0 added to this number, this equals 100 crit rating."
luminance_modifier,1,Scales the amount of luminance received by players
vendor_unique_rot_time,300,the number of seconds before unique items sold to vendors disappear
spell_damage_modifier,1,
minor_cantrip_drop_rate,1,
vitae_penalty_max,0.4,the maximum vitae penalty a player can have
aetheria_drop_rate,1,"Modifier for Aetheria drop rate, 1 being normal"
xbow_cb_crit_rate,0.05,The amount that an xbow with Crippling Blow will land a critical strike. Default is 0.05(5%). A value of 1.00 would be 100% crit strike chance. be CAREFUL
finesse_cb_crit_rate,0.05,The amount that a finesse weapon with Crippling Blow will land a critical strike. Default is 0.05(5%). A value of 1.00 would be 100% crit strike chance. be CAREFUL
encounter_delay,1800,the number of seconds a generator profile for regions is delayed from returning to free slots
fast_missile_modifier,1.2,The speed multiplier applied to fast missiles. Defaults to retail value of 1.2
finesse_weapons_damage,0,The amount of flat damage added to finesse weapons per tink. Note for each damage event the added damage will be randomized between 1 and this value. Default is 0.
quest_mindelta_rate,1,"scales all quest min delta time between solves, 1 being normal"
consumable_speed_modifier,1,Scales consumable animation speed. Allows players to eat or drink at a faster rate if set to a higher number.
xbow_damage,0,The amount of flat damage added to xbow weapons per tink. Note for each damage event the added damage will be randomized between 1 and this value. Default is 0.
void_pvp_modifier,0.5,"Scales the amount of damage players take from Void Magic. Defaults to 0.5, as per retail. For earlier content where DRR isn't as readily available, this can be adjusted for balance."
imbue_critical_strike_missile_scalar,1,Scales the effectiveness of Critical Strike Imbue for missile attacks at roughly max base skill. 1.0 = default effect. 2.0 = Crit chance double of what the player normally would have with a CS weapon
chess_ai_start_time,-1,the number of seconds for the chess ai to start. defaults to -1 (disabled)
vitae_penalty,0.05,the amount of vitae penalty a player gets per death
melee_max_angle,0,"for melee players, the maximum angle before a TurnTo is required. retail appeared to have required a TurnTo even for the smallest of angle offsets."
mob_awareness_range,1,Scales the distance the monsters become alerted and aggro the players
major_cantrip_drop_rate,1,
thrown_cb_damage,0,"The extra crit rating Thrown Weapons will get when imbued with CB. For every 1.0 added to this number, this equals 100 crit rating."
ignore_magic_armor_pvp_scalar,1,"Scales the effectiveness of IgnoreMagicArmor (ie. hollow weapons) in pvp battles. 1.0 = full effectiveness / ignore all enchantments on armor (default), 0.5 = half effectiveness / use half enchantments from armor, 0.0 = no effectiveness / use full enchantments from armor"
imbue_crippling_blow_missile_scalar,6,Scales the effectiveness of Crippling Blow for missile attacks at roughly max base skill. 1.0 = no effect. 2.0 = double damage on crit at max base skill. 4.0 = 4x damage etc.  ACE DEFAULT IS 6.0
cloak_max_proc_rate,25,Cap cloak proc chance to this percentage (100.0 will effectively use the standard ACE proc rate).
finesse_cb_damage,0,"The extra crit rating Finesse Weapons will get when imbued with CB. For every 1.0 added to this number, this equals 100 crit rating."
cantrip_drop_rate,1,
twohanded_damage,0,The amount of flat damage added to twohanded weapons per tink. Note for each damage event the added damage will be randomized between 1 and this value. Default is 0.
